post_id,hashtag
9222,#glass
4535,#course
6285,#institution
2547,#help
4358,#choice
9471,#wear
8005,#ahead
2217,#training
3004,#camera
5676,#event
9535,#body
313,#poor
5202,#option
3103,#call
5544,#seven
8282,#majority
3119,#two
2396,#again
2722,#prove
8210,#citizen
3618,#however
5007,#apply
8777,#fast
3332,#security
1831,#serve
3303,#available
8486,#air
5039,#treatment
4791,#serious
6470,#town
850,#trade
728,#majority
8426,#type
6741,#painting
1609,#general
2397,#on
8062,#indeed
4826,#shoulder
2263,#these
1385,#day
5661,#hear
3752,#rate
6940,#nothing
288,#both
6658,#race
640,#note
7655,#professor
1538,#possible
7749,#tonight
5776,#concern
8238,#buy
4288,#candidate
8305,#letter
2682,#paper
9444,#market
8872,#situation
6313,#face
807,#over
6473,#opportunity
5371,#plant
6336,#politics
2133,#method
816,#fact
651,#own
7316,#tonight
22,#professor
1222,#analysis
2676,#work
9760,#become
6687,#light
4507,#cause
2491,#organization
3957,#likely
5891,#anything
2211,#court
4398,#affect
6133,#late
6425,#no
393,#no
3344,#its
6452,#mind
8714,#form
5421,#number
4956,#outside
4641,#station
1312,#picture
3267,#strong
8026,#school
8444,#strategy
660,#support
1301,#college
2999,#last
4646,#born
218,#whole
25,#enjoy
9104,#be
626,#ability
7070,#for
3247,#these
5891,#price
9318,#with
205,#must
8498,#budget
6263,#quickly
9171,#entire
1591,#store
9426,#by
2271,#rest
1958,#not
4459,#stock
9103,#among
122,#cultural
2005,#cover
4577,#catch
1626,#nothing
8100,#traditional
2583,#parent
7739,#east
9842,#mother
611,#much
2116,#before
5465,#although
8422,#single
6605,#sense
7393,#computer
6013,#argue
9172,#activity
2107,#represent
7193,#either
1975,#ability
2301,#million
3760,#able
1661,#national
1792,#of
3577,#church
5399,#agency
5241,#field
344,#to
5675,#table
359,#line
9620,#nearly
9352,#pattern
9771,#many
7886,#culture
4560,#will
7071,#easy
8562,#theory
7354,#ahead
2473,#national
9572,#else
7209,#difference
9373,#minute
2605,#manager
8318,#every
3264,#manage
9724,#behavior
2437,#least
9423,#even
1520,#serious
2682,#recognize
6161,#reflect
6522,#in
8616,#apply
9344,#table
6715,#those
3672,#sing
839,#seat
4297,#several
8868,#section
1681,#behavior
7406,#tonight
2166,#entire
6749,#rock
9113,#garden
8843,#off
1934,#most
8389,#big
9953,#beat
1639,#year
5765,#off
6164,#production
7177,#daughter
961,#goal
8647,#see
2069,#former
3789,#allow
5616,#old
7586,#too
9643,#base
7961,#represent
8818,#lawyer
5675,#keep
6820,#ahead
4698,#candidate
7566,#maintain
8397,#interest
7824,#speech
1830,#where
4506,#total
5422,#media
2465,#approach
3700,#out
7877,#nothing
9553,#certain
3811,#bill
8719,#lead
1725,#product
6683,#many
9093,#beat
4468,#kitchen
5287,#camera
3418,#community
5346,#stay
7275,#mission
3637,#strong
2455,#never
3205,#eye
1125,#surface
5307,#respond
5174,#little
8524,#same
9606,#one
9648,#want
5970,#table
7737,#now
1525,#strong
8085,#fill
8818,#stuff
5258,#executive
4526,#arm
6615,#daughter
5959,#beyond
7661,#right
7487,#occur
4895,#edge
2329,#attorney
8721,#natural
1907,#your
5770,#nation
5360,#cut
8073,#type
7129,#impact
2179,#strategy
7063,#despite
5744,#pass
9372,#help
9179,#school
7883,#impact
2813,#increase
2360,#toward
6602,#special
9495,#relationship
3552,#final
1923,#have
2399,#Congress
7723,#outside
5576,#ability
7296,#draw
6388,#reality
4067,#stand
8476,#hundred
5088,#positive
8158,#wonder
6195,#this
5054,#beautiful
3047,#goal
6983,#lead
3942,#form
7593,#own
6673,#shoulder
9912,#American
7076,#stock
3683,#call
1646,#economy
5837,#financial
3141,#population
539,#around
9589,#account
4780,#say
4207,#own
9003,#who
4845,#check
1824,#learn
6225,#with
4576,#significant
5266,#site
7810,#company
6946,#interesting
2318,#explain
4529,#baby
6120,#up
2050,#total
3684,#certainly
3662,#decade
4119,#none
8758,#image
9498,#source
9909,#end
1372,#particularly
437,#common
7304,#sound
9284,#new
9439,#year
861,#bit
1959,#suggest
7009,#increase
2640,#friend
2341,#two
8511,#ahead
1831,#happen
3582,#tend
9832,#us
1577,#move
7483,#foreign
1766,#best
5325,#learn
293,#impact
7760,#myself
938,#use
5365,#cut
9890,#play
5663,#full
2352,#human
701,#trouble
7721,#expect
8064,#avoid
5629,#indicate
7373,#management
101,#thank
3407,#school
9575,#program
6869,#nation
4206,#around
5621,#collection
9378,#section
7556,#base
8694,#main
9170,#professor
4718,#career
4730,#here
8604,#follow
4481,#peace
4536,#against
1492,#street
861,#interesting
5508,#away
9552,#offer
5461,#machine
7200,#pass
2903,#number
3660,#bit
8561,#style
2170,#people
7936,#per
5907,#leader
6526,#begin
6408,#leg
7931,#bank
6496,#player
9554,#choice
4250,#fly
3947,#develop
8592,#bad
3,#sometimes
3123,#memory
2731,#serve
342,#lawyer
7741,#sister
9575,#group
8596,#management
7286,#door
4112,#fire
2225,#bed
253,#without
2658,#several
4390,#along
8675,#available
3471,#base
2419,#recently
9690,#wall
3861,#country
2858,#customer
4981,#our
8061,#prepare
5918,#song
2281,#everything
8753,#ground
7298,#he
5729,#start
5516,#those
6054,#increase
5124,#small
1030,#structure
7943,#difference
225,#great
8730,#measure
3787,#green
4398,#major
1773,#collection
4899,#wrong
627,#open
1081,#accept
113,#rich
1694,#once
6993,#man
8200,#record
4243,#must
6158,#maintain
3213,#see
9512,#discussion
1487,#everybody
367,#quickly
8833,#few
8664,#PM
9762,#chair
4232,#other
1462,#region
3630,#investment
1088,#security
995,#high
7949,#present
2784,#southern
8189,#live
6322,#value
3166,#everybody
7628,#bill
3599,#cost
4398,#beyond
9304,#region
3082,#go
9143,#beat
9803,#describe
8678,#reason
2963,#the
7768,#why
6284,#international
5737,#computer
2911,#arm
9629,#church
7366,#support
7327,#reach
1417,#west
9524,#list
6089,#man
2725,#enter
3470,#my
8572,#decide
8120,#believe
3430,#we
7793,#approach
7884,#door
8909,#involve
3431,#test
4977,#however
4452,#machine
43,#bill
3904,#really
6090,#stock
2603,#including
6967,#line
6150,#expert
4793,#local
519,#son
3944,#school
1339,#get
3737,#message
4460,#bit
4925,#help
9753,#own
9067,#throughout
1029,#star
1177,#performance
6545,#at
8905,#type
4117,#growth
3474,#build
951,#material
2428,#kitchen
5926,#writer
615,#dog
1618,#base
2354,#ahead
6076,#phone
7262,#local
4723,#quickly
497,#fire
1758,#beat
8000,#determine
2595,#indeed
7073,#a
2481,#stop
600,#these
5276,#physical
8735,#simple
1042,#my
1391,#least
9021,#edge
4904,#ball
6734,#surface
2839,#mind
4421,#sea
8274,#type
3253,#new
4186,#be
5336,#rich
1788,#support
6538,#water
4252,#hold
9098,#study
3665,#plan
1408,#policy
2514,#occur
9875,#entire
1655,#course
8819,#step
1916,#cause
2092,#before
7379,#good
9824,#mouth
1982,#shoulder
5473,#resource
8952,#service
1303,#girl
9605,#stand
1998,#get
7218,#training
617,#fear
5073,#brother
4295,#skin
7229,#word
4769,#answer
617,#partner
6917,#else
6075,#southern
5956,#positive
1622,#factor
3095,#structure
477,#argue
4320,#they
4773,#bit
6908,#million
1579,#culture
1703,#onto
4892,#somebody
6326,#wrong
577,#day
7805,#accept
4098,#cost
7351,#small
4950,#decade
1400,#piece
8438,#face
7956,#seat
192,#name
1584,#gas
1502,#world
7304,#contain
8795,#night
2595,#discussion
8811,#school
5516,#prove
9387,#side
3833,#rich
3952,#see
4322,#about
6133,#late
6954,#maybe
3636,#worry
3338,#common
9196,#indeed
9303,#bed
3783,#possible
5662,#manage
2677,#add
5375,#theory
4630,#environment
4693,#whether
9965,#letter
9456,#personal
9129,#stage
8349,#that
4065,#suddenly
5480,#minute
1358,#continue
4639,#who
2159,#traditional
2779,#person
2007,#type
4586,#seven
3158,#no
3519,#believe
2394,#put
2562,#share
2642,#across
3947,#thing
3953,#level
464,#quickly
5398,#ball
3151,#everybody
2075,#especially
909,#whether
8968,#information
2261,#trouble
9440,#education
5670,#watch
5933,#science
2090,#rise
8321,#loss
3019,#white
4831,#thing
9796,#fast
5697,#than
4930,#sometimes
5226,#step
5314,#debate
1360,#television
8350,#whom
6441,#add
2545,#national
6084,#community
5611,#every
3620,#different
9384,#nearly
306,#receive
2171,#yeah
3284,#early
7368,#street
9871,#may
1177,#country
9490,#nearly
356,#deep
1153,#build
6692,#federal
5469,#successful
8775,#break
5442,#third
8003,#lose
282,#address
4449,#though
4903,#specific
7807,#part
491,#break
4986,#those
4287,#relationship
2441,#trial
9602,#father
1924,#score
4010,#green
3355,#before
5195,#represent
3405,#seek
8060,#skill
1717,#road
1449,#me
247,#material
6417,#million
9748,#available
6003,#wind
9710,#hospital
7623,#reality
8303,#money
1804,#name
8611,#major
5172,#suggest
6857,#job
8137,#nation
8538,#art
1154,#very
9257,#fly
3040,#agent
7041,#election
1352,#front
4889,#thing
2183,#action
8008,#crime
6457,#out
4538,#after
1737,#win
9771,#church
7113,#gun
2453,#outside
4170,#choose
5113,#attack
2927,#senior
9751,#some
8893,#role
599,#interest
1562,#political
1025,#free
243,#couple
8378,#writer
8106,#Mr
7856,#policy
8414,#even
8247,#growth
2440,#fear
2440,#within
12,#major
2975,#series
1253,#we
7211,#fish
1329,#study
5137,#management
8516,#save
6636,#continue
5441,#college
1789,#them
113,#by
5955,#guess
5808,#standard
7230,#type
5322,#season
5174,#despite
1328,#quite
9272,#fight
2959,#woman
7666,#material
5433,#least
8483,#indicate
1279,#politics
6703,#year
2210,#total
4244,#crime
5419,#keep
7984,#down
1122,#camera
7336,#until
9314,#position
5511,#develop
29,#strategy
4338,#practice
9017,#third
3471,#think
6129,#throw
5172,#party
5072,#improve
8716,#near
8854,#party
5117,#parent
9664,#fire
2857,#role
2647,#general
1494,#lay
9045,#life
8487,#every
5285,#up
3163,#available
7016,#property
2310,#indicate
33,#dream
9514,#admit
524,#security
4482,#always
3803,#no
9383,#where
9134,#company
7833,#final
1121,#admit
8565,#red
7421,#process
2266,#season
2481,#also
9192,#camera
1828,#end
2453,#five
4258,#movement
7522,#all
1645,#wide
7638,#class
3381,#stage
5560,#attorney
8903,#person
404,#give
9520,#sometimes
2521,#occur
5849,#investment
3926,#gun
1437,#they
3296,#truth
512,#art
8917,#business
4998,#final
4866,#future
9961,#site
3607,#lay
9065,#suggest
3280,#seat
6318,#audience
698,#space
5910,#again
5119,#full
3359,#your
8821,#against
8468,#truth
6479,#work
546,#establish
7178,#century
6156,#way
3640,#name
8025,#dog
9417,#family
7324,#remember
3018,#investment
3777,#in
8054,#yeah
641,#surface
5137,#fine
2344,#wear
7124,#how
5729,#a
637,#western
2413,#write
8221,#candidate
2473,#they
739,#message
4686,#discover
4393,#myself
561,#use
8316,#forget
9644,#budget
926,#everyone
7385,#voice
2327,#process
9570,#about
3612,#good
2270,#his
1306,#level
7498,#team
411,#contain
4577,#meeting
7450,#process
3256,#degree
5186,#relate
2120,#organization
4336,#teach
4709,#far
3983,#through
5259,#fight
9478,#join
2409,#president
4037,#movement
3072,#knowledge
2876,#start
2252,#majority
3492,#sure
5679,#artist
6113,#travel
8330,#middle
2649,#our
7268,#deal
9924,#research
9764,#land
7905,#memory
8651,#address
9932,#whom
1394,#entire
8476,#never
3721,#pattern
4862,#people
6453,#who
3530,#money
9356,#painting
1274,#house
120,#officer
3038,#recently
3093,#nothing
4891,#wrong
3359,#call
9,#wish
252,#drive
9549,#husband
9064,#table
9380,#resource
9477,#job
4013,#attention
4306,#themselves
9805,#brother
6568,#goal
120,#activity
3125,#least
7418,#understand
1715,#reveal
7229,#specific
3668,#southern
144,#note
8598,#yet
2179,#own
6708,#person
4144,#director
5148,#hard
2871,#coach
3501,#design
911,#concern
5001,#need
5550,#development
7709,#someone
8706,#want
5516,#left
3569,#whole
1703,#end
2489,#structure
4156,#gun
4965,#three
7369,#may
5903,#fact
809,#Mr
8115,#and
4034,#mission
7299,#concern
9018,#start
6189,#job
3667,#lawyer
1134,#serve
9629,#involve
9927,#them
7508,#mouth
4192,#language
2364,#prevent
7370,#customer
6029,#all
3085,#place
8356,#space
7579,#large
8101,#can
9877,#night
8602,#model
2043,#onto
9114,#fear
5057,#certainly
8488,#officer
2927,#herself
5,#nation
9243,#ok
495,#husband
7367,#note
1964,#large
5686,#set
9007,#nothing
5524,#art
2122,#hundred
663,#summer
4227,#low
1281,#message
6218,#personal
601,#there
6185,#operation
6895,#pick
6362,#participant
6969,#reality
9649,#two
689,#industry
6903,#budget
1813,#wear
5173,#compare
5669,#politics
8308,#key
5283,#side
3053,#election
4840,#event
2791,#economy
2082,#market
6840,#responsibility
8882,#what
123,#baby
2961,#recently
585,#have
772,#skin
2248,#brother
8620,#matter
564,#discuss
9689,#wish
67,#suggest
5919,#sometimes
6651,#speak
1131,#song
670,#usually
4029,#majority
4854,#religious
5575,#thought
1521,#yeah
8743,#machine
8858,#least
8308,#point
6103,#beat
4170,#can
21,#exactly
701,#because
707,#break
5528,#attorney
2259,#wonder
2535,#medical
2061,#impact
4423,#evidence
5591,#wife
375,#middle
4639,#instead
226,#recent
5521,#pattern
1337,#maybe
2052,#discuss
1964,#break
1273,#often
6661,#a
5294,#risk
9420,#remember
1247,#dinner
42,#vote
7642,#now
465,#interest
8896,#employee
6429,#attorney
4395,#but
2512,#ok
5583,#board
9388,#fall
7500,#listen
8969,#expect
353,#control
2483,#such
4839,#few
9135,#name
7735,#source
3382,#response
5694,#knowledge
9968,#talk
3385,#account
5843,#five
3030,#option
259,#also
9015,#foot
2344,#moment
6764,#oil
9680,#everybody
7299,#world
8127,#success
8463,#yet
7807,#again
1334,#film
3034,#sound
1221,#might
1363,#another
6007,#possible
6675,#anyone
6953,#little
9915,#station
8486,#member
6140,#draw
13,#fast
6162,#number
897,#six
6616,#have
8893,#miss
3756,#every
6363,#professor
2843,#it
9440,#cold
1805,#director
7838,#recognize
3427,#year
4150,#soon
7481,#home
5651,#surface
2796,#material
7260,#stay
5167,#source
5488,#moment
2532,#partner
6048,#industry
9712,#town
2093,#edge
8855,#suggest
22,#own
8493,#help
2507,#night
9129,#tree
5974,#study
7387,#operation
7207,#available
5412,#citizen
6395,#see
9436,#measure
5665,#model
2276,#bag
9998,#would
5801,#magazine
1314,#serve
6604,#citizen
8058,#no
5534,#step
3727,#yeah
9818,#morning
943,#let
1687,#home
6804,#response
5726,#ask
9585,#system
6782,#body
4836,#professional
8926,#about
1742,#other
804,#inside
9532,#develop
7378,#far
5968,#teacher
1914,#dinner
3372,#police
5439,#glass
9301,#spend
3796,#too
5809,#source
1747,#less
2830,#various
1568,#gas
4520,#daughter
4581,#recently
1645,#what
8920,#artist
9880,#soldier
8874,#individual
6329,#beyond
6938,#hard
470,#discuss
5571,#great
1982,#general
964,#become
510,#time
9366,#listen
9396,#kitchen
7047,#laugh
7118,#bad
1468,#top
9758,#wind
583,#choose
2750,#office
569,#not
5302,#first
9273,#adult
471,#treatment
2154,#meeting
4411,#mission
2063,#officer
8143,#significant
1472,#around
877,#accept
126,#appear
8366,#region
184,#from
4086,#institution
3620,#law
3586,#still
6517,#grow
8650,#front
3556,#the
5864,#can
1640,#couple
3152,#other
4966,#large
6455,#thousand
6248,#value
5094,#own
608,#find
4088,#may
7637,#feeling
4278,#consider
9992,#moment
107,#seat
1013,#more
7806,#investment
9759,#perform
7357,#candidate
4389,#inside
4690,#political
5835,#accept
4047,#audience
5773,#parent
1107,#push
8337,#wind
7058,#relate
9539,#alone
6728,#part
1945,#them
6723,#investment
5805,#peace
6732,#candidate
1078,#process
6363,#identify
9803,#someone
2325,#prevent
2817,#choice
9161,#night
889,#well
1065,#lay
950,#material
7987,#although
9104,#walk
8429,#look
7420,#analysis
3645,#hold
4323,#young
5817,#common
2992,#usually
6906,#seat
6316,#interesting
8432,#test
3216,#matter
4522,#speak
651,#smile
5792,#build
5596,#think
4791,#far
9443,#child
3664,#focus
8748,#product
1105,#type
9997,#along
6440,#director
7099,#about
1389,#involve
1023,#make
5071,#leave
3205,#cut
5656,#attack
7314,#state
4769,#letter
4203,#similar
7715,#realize
3288,#each
2585,#vote
9915,#produce
4470,#test
5739,#development
8601,#character
1865,#drop
3853,#painting
3979,#after
4080,#change
4868,#raise
6429,#PM
3716,#right
9067,#star
4865,#sense
6682,#throw
9045,#news
1423,#firm
930,#whom
1369,#by
2671,#whether
8370,#total
9249,#sure
5782,#think
1082,#defense
7618,#east
3680,#different
6714,#my
8313,#term
7749,#offer
7659,#that
3825,#happen
4784,#cell
7869,#former
9567,#late
4479,#behind
4212,#turn
9088,#media
517,#yard
3419,#become
9278,#hospital
5821,#available
2764,#discussion
7202,#voice
2180,#school
651,#evening
8751,#return
9338,#media
2748,#person
7243,#beautiful
6890,#fish
5346,#lose
5046,#body
7892,#move
8368,#leader
7782,#need
2158,#yourself
5955,#institution
3698,#agreement
4832,#home
8757,#military
6336,#glass
7750,#have
9424,#cell
9686,#level
9650,#seek
5052,#customer
6500,#local
4938,#wide
5429,#boy
8836,#indeed
2556,#life
5403,#administration
9832,#grow
6227,#I
5923,#public
6497,#military
3632,#drug
8963,#election
8517,#son
672,#behavior
3309,#such
90,#effort
8912,#rock
5684,#big
7150,#news
5023,#pressure
2403,#break
8676,#his
6461,#approach
9162,#yourself
9936,#social
4457,#doctor
8376,#financial
3506,#gun
4297,#wish
8216,#including
5891,#power
3846,#move
784,#job
2845,#owner
7809,#southern
5894,#give
2217,#major
658,#professor
8959,#school
5874,#early
177,#tree
118,#decide
2463,#research
3295,#cost
5651,#include
1900,#successful
6249,#several
8143,#even
581,#program
9678,#fish
1531,#key
9892,#fall
5990,#conference
7828,#air
5170,#computer
4353,#analysis
5467,#attention
5887,#heavy
4638,#American
2657,#professor
4367,#type
9082,#vote
9287,#environment
3835,#make
8485,#direction
255,#tonight
7966,#model
8368,#camera
5706,#political
8876,#create
7312,#almost
2041,#meet
394,#property
4086,#clear
8439,#win
7462,#lawyer
3266,#region
1300,#appear
5438,#never
4149,#suggest
4290,#beat
2796,#more
2043,#hear
1903,#oil
7037,#box
2495,#new
8022,#enter
6558,#resource
9016,#work
7884,#task
4844,#ground
7990,#past
398,#popular
714,#five
8821,#anyone
1219,#station
2715,#Republican
6580,#bring
3262,#occur
8432,#skin
3856,#house
7590,#social
9907,#individual
1275,#create
2160,#something
752,#theory
9956,#receive
8154,#responsibility
3355,#face
1046,#pass
9317,#decade
4011,#wait
8618,#food
5433,#each
557,#weight
7925,#education
4780,#world
2266,#fire
1695,#rate
2428,#character
9332,#whose
4635,#none
4922,#my
577,#stand
700,#within
1887,#arm
6693,#give
1009,#exactly
3791,#left
5243,#his
3809,#system
9420,#all
7589,#behavior
8793,#manager
265,#consider
3787,#perform
6689,#recent
1499,#author
1977,#us
4163,#north
9449,#hear
2833,#challenge
7791,#parent
8352,#least
6862,#gas
5866,#behavior
1202,#find
9456,#political
8580,#tree
8856,#put
670,#political
119,#according
3214,#none
8526,#model
2284,#she
7831,#past
8812,#important
8255,#minute
7020,#pressure
9056,#little
7853,#court
3096,#first
2874,#data
8299,#develop
4701,#smile
5957,#point
3145,#else
4082,#course
9059,#international
1335,#fire
4651,#section
1288,#that
1500,#here
6159,#affect
9987,#store
773,#attorney
4971,#others
781,#scene
4713,#our
338,#party
8604,#western
7919,#act
456,#field
7701,#election
4860,#price
3634,#American
893,#especially
6989,#democratic
9984,#kitchen
8944,#quite
4769,#beautiful
4451,#difference
262,#key
8117,#before
8474,#fish
8189,#space
1807,#agent
8078,#five
2294,#strategy
234,#tend
8935,#suffer
7861,#certainly
6695,#generation
1534,#great
8096,#new
1697,#cause
1347,#sometimes
8454,#source
9545,#watch
9449,#peace
7624,#sing
1947,#sport
6719,#contain
4811,#between
9056,#another
3495,#its
5636,#data
3174,#truth
8785,#performance
5395,#manage
7167,#loss
3529,#article
7082,#make
2537,#training
1870,#yeah
6636,#plan
2681,#enough
4408,#interest
4297,#research
6672,#year
3486,#away
6792,#heart
5753,#day
9803,#total
1020,#with
8579,#walk
4347,#past
7193,#quickly
9170,#fall
9202,#another
8593,#option
821,#public
2451,#health
7870,#director
6557,#beautiful
7530,#growth
9803,#condition
6402,#statement
29,#true
8704,#cup
5004,#nature
2194,#indicate
5665,#direction
6903,#prevent
2897,#now
9088,#employee
33,#writer
433,#blood
7120,#name
5678,#dinner
9040,#available
6335,#through
4460,#available
4198,#choose
7203,#over
1966,#nation
2182,#animal
3482,#soon
5622,#position
9141,#sell
1074,#research
8851,#style
8895,#policy
2605,#above
1540,#four
5142,#throughout
3151,#deal
7011,#analysis
6483,#doctor
416,#standard
7645,#long
2426,#either
9293,#entire
6636,#long
2315,#late
3399,#share
8391,#analysis
6557,#raise
7638,#summer
8902,#player
2949,#whole
5923,#drop
7177,#goal
5068,#significant
895,#present
7283,#miss
2309,#fill
8489,#lay
3861,#responsibility
1835,#news
3800,#inside
7601,#front
8421,#address
4860,#yard
6482,#keep
2747,#accept
9393,#worry
9344,#eye
1830,#before
2767,#vote
7792,#give
2691,#improve
6372,#entire
3732,#whether
2487,#age
1691,#state
867,#third
9156,#piece
5164,#thank
9595,#manager
2453,#energy
336,#piece
3293,#after
5488,#black
5378,#despite
2972,#buy
6435,#sing
1603,#player
3735,#commercial
7343,#successful
5569,#price
8125,#listen
906,#girl
5574,#management
7845,#lawyer
3144,#doctor
6660,#attorney
7192,#concern
446,#little
9123,#per
9133,#month
1336,#very
634,#fact
3205,#go
8833,#rich
791,#question
7092,#degree
2930,#care
1238,#debate
3001,#ground
688,#cultural
5629,#upon
9033,#decision
9100,#hair
5303,#important
788,#another
7239,#instead
9086,#along
9095,#generation
1535,#various
2019,#country
2212,#gun
969,#test
589,#explain
3265,#blood
9826,#anything
3726,#change
959,#must
